aX,aY,aZ,gX,gY,gZ
-0.00990000,-0.00810000,0.10030000,0.00427000,-0.01386000,-0.00063000
0.00000000,-0.00740000,0.09160000,0.01148000,-0.01351000,-0.00147000
0.00490000,-0.00150000,0.09900000,0.01323000,-0.00994000,0.00056000
0.00000000,-0.00060000,0.09760000,0.01008000,-0.00483000,0.00280000
0.00000000,-0.00060000,0.09760000,0.00616000,-0.00420000,0.00175000
-0.00480000,-0.00150000,0.10130000,0.00315000,-0.00322000,0.00273000
-0.00730000,0.00010000,0.09900000,0.00315000,-0.00322000,0.00273000
-0.00550000,-0.00350000,0.09980000,0.00266000,-0.00392000,0.00238000
-0.00600000,-0.00330000,0.10130000,0.00028000,-0.00224000,0.00252000
-0.00570000,-0.00110000,0.09800000,0.00000000,-0.00203000,0.00259000
-0.00590000,-0.00330000,0.10040000,0.00420000,-0.00231000,0.00280000
-0.00830000,-0.00410000,0.10260000,0.00525000,-0.00147000,0.00315000
-0.00830000,-0.00410000,0.10260000,0.00525000,-0.00147000,0.00315000
-0.00980000,-0.00430000,0.10610000,0.00273000,-0.00021000,0.00182000
-0.00870000,-0.00200000,0.10470000,-0.00091000,-0.00147000,-0.00014000
-0.00670000,-0.00150000,0.10300000,-0.00042000,-0.00434000,-0.00056000
-0.00640000,-0.00180000,0.10450000,-0.00077000,-0.00581000,-0.00042000
-0.00670000,-0.00310000,0.10280000,-0.00546000,-0.00567000,-0.00077000
-0.00670000,-0.00310000,0.10280000,-0.00749000,-0.00504000,-0.00049000
-0.00630000,-0.00400000,0.09970000,-0.00749000,-0.00504000,-0.00049000
-0.00630000,-0.00320000,0.10130000,-0.00420000,-0.00497000,-0.00077000
-0.00550000,-0.00460000,0.10050000,0.00056000,-0.00329000,0.00154000
-0.00480000,-0.00370000,0.10150000,0.00035000,-0.00245000,0.00035000
-0.00480000,-0.00370000,0.10150000,0.00035000,-0.00245000,0.00035000
-0.00480000,-0.00370000,0.10150000,0.00070000,-0.00245000,0.00049000
-0.00510000,-0.00410000,0.10240000,0.00070000,-0.00245000,0.00049000
-0.00550000,-0.00400000,0.10170000,0.00028000,-0.00252000,0.00042000
-0.00550000,-0.00400000,0.10170000,0.00028000,-0.00252000,0.00042000
-0.00510000,-0.00360000,0.10150000,0.00014000,-0.00273000,0.00042000
-0.00510000,-0.00360000,0.10150000,0.00014000,-0.00273000,0.00042000
-0.00510000,-0.00340000,0.10110000,0.00000000,-0.00301000,0.00042000
-0.00520000,-0.00370000,0.10210000,-0.00042000,-0.00322000,0.00070000
-0.00580000,-0.00340000,0.10160000,-0.00091000,-0.00336000,0.00105000
-0.00570000,-0.00330000,0.10080000,-0.00021000,-0.00406000,0.00119000
-0.00570000,-0.00330000,0.10080000,-0.00021000,-0.00406000,0.00119000
-0.00500000,-0.00340000,0.10090000,0.00091000,-0.00511000,0.00140000
-0.00390000,-0.00420000,0.10260000,0.00091000,-0.00525000,0.00119000
-0.00440000,-0.00540000,0.10210000,-0.00070000,-0.00462000,0.00140000
-0.00450000,-0.00490000,0.10100000,-0.00056000,-0.00385000,0.00147000
-0.00380000,-0.00370000,0.10070000,0.00224000,-0.00315000,0.00175000
-0.00380000,-0.00370000,0.10070000,0.00322000,-0.00217000,0.00217000
-0.00400000,-0.00390000,0.10420000,0.00322000,-0.00217000,0.00217000
-0.00180000,-0.00460000,0.10440000,-0.00105000,-0.00119000,0.00063000
0.00140000,-0.00160000,0.09780000,-0.00042000,0.00133000,-0.00070000
0.00060000,0.00660000,0.08620000,-0.00042000,0.00133000,-0.00070000
-0.00070000,-0.01120000,0.08390000,0.01036000,0.00637000,0.00392000
-0.02250000,-0.01680000,0.13590000,0.00833000,0.03255000,0.01316000
-0.02730000,0.01990000,0.11950000,-0.02807000,0.06510000,0.00805000
-0.01490000,0.00340000,0.06650000,-0.03045000,0.01519000,0.00469000
-0.01490000,0.00340000,0.09810000,0.00056000,-0.02681000,-0.00294000
-0.00580000,-0.01950000,0.09810000,0.00056000,-0.02681000,-0.00294000
-0.00670000,-0.01950000,0.08690000,0.00329000,0.00182000,-0.00644000
-0.01440000,-0.00130000,0.09230000,0.00483000,-0.00119000,-0.00119000
-0.01160000,0.00000000,0.10060000,0.01169000,-0.01043000,-0.00035000
-0.00700000,-0.00610000,0.11340000,0.01316000,-0.00952000,-0.00126000
-0.00810000,-0.00470000,0.11010000,0.00511000,-0.01288000,0.00112000
-0.00810000,-0.00470000,0.11010000,0.00511000,-0.01288000,0.00112000
-0.01030000,-0.00610000,0.10960000,-0.00014000,-0.01526000,0.00196000
-0.01180000,-0.00810000,0.10850000,-0.00175000,-0.02233000,0.00035000
-0.00720000,-0.00320000,0.09790000,0.00287000,-0.01904000,-0.00203000
-0.00530000,-0.00730000,0.10840000,0.00616000,-0.01253000,-0.00175000
-0.00210000,-0.00870000,0.09970000,-0.00469000,-0.01316000,-0.00112000
-0.00210000,-0.00870000,0.09970000,-0.00469000,-0.01316000,0.00091000
0.00170000,-0.00560000,0.09890000,-0.00798000,-0.00889000,0.00091000
0.00140000,-0.00740000,0.09800000,-0.00581000,-0.00819000,0.00105000
-0.00390000,-0.00760000,0.09410000,-0.00133000,-0.00399000,0.00119000
-0.00940000,-0.00490000,0.10010000,0.00217000,-0.00154000,0.00259000
-0.00880000,-0.00330000,0.10160000,0.00028000,-0.00231000,0.00105000
-0.00880000,-0.00330000,0.10160000,0.00028000,-0.00231000,-0.00112000
-0.00430000,-0.00380000,0.09860000,-0.00217000,-0.00476000,-0.00112000
-0.00360000,-0.00600000,0.09980000,-0.00042000,-0.00406000,0.00014000
-0.00720000,-0.00420000,0.10120000,0.00182000,-0.00161000,0.00063000
-0.00840000,-0.00260000,0.10180000,0.00287000,-0.00147000,-0.00259000
-0.00650000,-0.00060000,0.10320000,0.00280000,-0.00336000,-0.00392000
-0.00650000,-0.00060000,0.10320000,0.00091000,-0.00427000,0.00021000
-0.00640000,-0.00130000,0.10310000,0.00091000,-0.00427000,0.00021000
-0.00550000,-0.00380000,0.10100000,-0.00280000,-0.00413000,0.00028000
-0.00710000,-0.00310000,0.10290000,-0.00420000,-0.00224000,0.00000000
-0.00800000,-0.00400000,0.10430000,-0.00392000,-0.00343000,0.00007000
-0.00680000,-0.00440000,0.10450000,-0.00315000,-0.00581000,-0.00056000
-0.00680000,-0.00440000,0.10450000,-0.00315000,-0.00679000,-0.00070000
-0.00580000,-0.00570000,0.09990000,-0.00042000,-0.00315000,0.00070000
-0.00540000,-0.00600000,0.10130000,-0.00028000,-0.00357000,0.00091000
-0.00520000,-0.00500000,0.10120000,0.00000000,-0.00294000,0.00091000
-0.00540000,-0.00530000,0.10190000,0.00049000,-0.00280000,0.00077000
-0.00540000,-0.00530000,0.10190000,0.00049000,-0.00280000,0.00077000
-0.00550000,-0.00600000,0.10170000,0.00007000,-0.00287000,0.00063000
-0.00490000,-0.00510000,0.10190000,-0.00007000,-0.00287000,0.00042000
-0.00490000,-0.00510000,0.10190000,-0.00007000,-0.00287000,0.00042000
-0.00560000,-0.00540000,0.10200000,0.00112000,-0.00294000,0.00063000
-0.00660000,-0.00540000,0.10140000,0.00161000,-0.00336000,0.00077000
-0.00600000,-0.00430000,0.10040000,0.00091000,-0.00357000,0.00028000
-0.00520000,-0.00430000,0.10150000,0.00014000,-0.00378000,0.00014000
-0.00480000,-0.00520000,0.10060000,-0.00084000,-0.00371000,0.00028000
-0.00480000,-0.00520000,0.10060000,-0.00084000,-0.00371000,0.00028000
-0.00420000,-0.00580000,0.10070000,-0.00021000,-0.00371000,0.00042000
-0.00460000,-0.00690000,0.10110000,0.00119000,-0.00357000,0.00063000
-0.00490000,-0.00590000,0.10050000,0.00196000,-0.00329000,0.00077000
-0.00390000,-0.00520000,0.10140000,0.00273000,-0.00336000,0.00098000
