aX,aY,aZ,gX,gY,gZ
0.00400000,0.00020000,0.10000000,0.00161000,-0.00301000,0.00070000
0.00310000,0.00010000,0.10250000,0.00651000,0.00147000,0.00007000
0.00330000,0.00120000,0.10070000,0.00238000,-0.00175000,0.00091000
0.00310000,0.00080000,0.10180000,0.00147000,-0.00161000,0.00105000
0.00310000,0.00080000,0.10170000,0.00329000,-0.00021000,0.00021000
0.00280000,0.00080000,0.10170000,0.00329000,-0.00021000,0.00021000
0.00320000,0.00100000,0.10180000,0.00308000,-0.00042000,0.00007000
0.00280000,0.00140000,0.10190000,0.00126000,-0.00168000,0.00063000
0.00280000,0.00140000,0.10190000,0.00126000,-0.00168000,0.00063000
0.00190000,0.00170000,0.10180000,0.00028000,-0.00301000,0.00098000
0.00320000,0.00210000,0.10090000,0.00035000,-0.00350000,0.00063000
0.00360000,0.00150000,0.10180000,-0.00021000,-0.00399000,0.00042000
0.00360000,0.00150000,0.10180000,-0.00112000,-0.00378000,0.00028000
0.00280000,0.00060000,0.10100000,-0.00112000,-0.00378000,0.00028000
0.00300000,0.00070000,0.10030000,0.00042000,-0.00280000,0.00007000
0.00370000,0.00100000,0.10010000,0.00336000,-0.00119000,-0.00021000
0.00370000,0.00100000,0.10100000,0.00665000,0.00056000,-0.00056000
0.00290000,0.00060000,0.10420000,0.00861000,0.00175000,-0.00105000
0.00290000,0.00060000,0.10350000,0.00728000,0.00154000,-0.00077000
0.00280000,0.00110000,0.10350000,0.00728000,0.00154000,-0.00077000
0.00390000,0.00320000,0.10010000,0.00476000,0.00000000,-0.00014000
0.00410000,0.00370000,0.09620000,0.00434000,0.00140000,-0.00007000
0.00250000,0.00300000,0.10320000,0.00630000,0.00301000,0.00000000
0.00180000,0.00390000,0.10240000,0.00476000,0.00434000,0.00140000
0.00570000,0.00770000,0.10140000,0.00196000,0.00231000,0.00210000
0.00570000,0.00770000,0.10140000,0.00196000,0.00231000,0.00210000
